Clase ID,Clase Nombre,Confianza,"BBox [x1, y1, x2, y2]"
18,Elingamitajohnsonii_Caucho_flor,0.925,"[350.61651611328125, 519.47021484375, 416.86505126953125, 582.551025390625]"
18,Elingamitajohnsonii_Caucho_flor,0.906,"[409.53985595703125, 245.66835021972656, 450.67266845703125, 284.3192138671875]"
18,Elingamitajohnsonii_Caucho_flor,0.885,"[95.46078491210938, 659.984130859375, 194.31253051757812, 747.32568359375]"
18,Elingamitajohnsonii_Caucho_flor,0.88,"[203.60614013671875, 500.1996154785156, 279.6771240234375, 570.0421142578125]"
18,Elingamitajohnsonii_Caucho_flor,0.875,"[204.28208923339844, 944.5863647460938, 305.1749267578125, 1012.1447143554688]"
18,Elingamitajohnsonii_Caucho_flor,0.866,"[273.2330627441406, 376.4481201171875, 332.8408508300781, 428.9864501953125]"
18,Elingamitajohnsonii_Caucho_flor,0.856,"[306.7769775390625, 340.88714599609375, 378.93499755859375, 390.66314697265625]"
18,Elingamitajohnsonii_Caucho_flor,0.842,"[297.3768615722656, 438.1986083984375, 388.4408874511719, 509.256591796875]"
18,Elingamitajohnsonii_Caucho_flor,0.836,"[327.0064697265625, 990.0677490234375, 449.7655029296875, 1062.9461669921875]"
18,Elingamitajohnsonii_Caucho_flor,0.835,"[151.52890014648438, 581.8759765625, 251.61080932617188, 648.744873046875]"
18,Elingamitajohnsonii_Caucho_flor,0.829,"[233.95982360839844, 647.3994140625, 330.161865234375, 725.8154296875]"
18,Elingamitajohnsonii_Caucho_flor,0.826,"[356.8694763183594, 240.31996154785156, 399.9689025878906, 288.3447265625]"
18,Elingamitajohnsonii_Caucho_flor,0.812,"[113.2208480834961, 928.5277099609375, 193.09024047851562, 1021.1099853515625]"
18,Elingamitajohnsonii_Caucho_flor,0.804,"[409.83331298828125, 150.26589965820312, 459.22003173828125, 226.99615478515625]"
18,Elingamitajohnsonii_Caucho_flor,0.793,"[370.46990966796875, 386.432861328125, 425.8751220703125, 436.68017578125]"
18,Elingamitajohnsonii_Caucho_flor,0.754,"[319.66497802734375, 293.8378601074219, 370.16546630859375, 339.8515930175781]"
18,Elingamitajohnsonii_Caucho_flor,0.724,"[401.43212890625, 336.3884582519531, 453.3182373046875, 385.7735900878906]"
18,Elingamitajohnsonii_Caucho_flor,0.717,"[322.0064697265625, 690.5543212890625, 391.09539794921875, 763.7391357421875]"
18,Elingamitajohnsonii_Caucho_flor,0.704,"[25.813465118408203, 818.6603393554688, 103.13334655761719, 890.4469604492188]"
18,Elingamitajohnsonii_Caucho_flor,0.695,"[383.694091796875, 196.3979034423828, 427.1793212890625, 250.2980194091797]"
18,Elingamitajohnsonii_Caucho_flor,0.595,"[0.0, 850.0068359375, 28.00967025756836, 937.4130859375]"
18,Elingamitajohnsonii_Caucho_flor,0.573,"[386.70233154296875, 285.420166015625, 438.36871337890625, 329.1392822265625]"
