Clase ID,Clase Nombre,Confianza,"BBox [x1, y1, x2, y2]"
32,Musa_paradisiaca_Platano_fruto,0.979,"[9.93438720703125, 281.6326904296875, 651.4976806640625, 743.208984375]"
32,Musa_paradisiaca_Platano_fruto,0.952,"[514.8218383789062, 569.31103515625, 625.2106323242188, 754.25732421875]"
32,Musa_paradisiaca_Platano_fruto,0.936,"[316.82916259765625, 399.7723388671875, 503.3419189453125, 641.700439453125]"
32,Musa_paradisiaca_Platano_fruto,0.919,"[334.52886962890625, 458.3441162109375, 487.404541015625, 687.1878662109375]"
32,Musa_paradisiaca_Platano_fruto,0.909,"[233.905517578125, 412.96380615234375, 372.43939208984375, 614.4247436523438]"
32,Musa_paradisiaca_Platano_fruto,0.907,"[283.8808898925781, 550.4368896484375, 490.0400085449219, 748.328369140625]"
32,Musa_paradisiaca_Platano_fruto,0.892,"[350.2436828613281, 416.70556640625, 513.765869140625, 657.553466796875]"
32,Musa_paradisiaca_Platano_fruto,0.889,"[266.189208984375, 411.7811584472656, 493.8828125, 651.77001953125]"
32,Musa_paradisiaca_Platano_fruto,0.884,"[186.62075805664062, 405.1689147949219, 387.5018615722656, 599.9638671875]"
32,Musa_paradisiaca_Platano_fruto,0.878,"[255.21221923828125, 437.03424072265625, 429.6539611816406, 662.0511474609375]"
32,Musa_paradisiaca_Platano_fruto,0.869,"[71.36985778808594, 459.86602783203125, 243.32626342773438, 709.0631103515625]"
32,Musa_paradisiaca_Platano_fruto,0.854,"[258.6904296875, 458.24700927734375, 461.2141418457031, 695.577392578125]"
32,Musa_paradisiaca_Platano_fruto,0.845,"[228.58203125, 338.55780029296875, 381.5699768066406, 477.91021728515625]"
32,Musa_paradisiaca_Platano_fruto,0.84,"[276.85552978515625, 476.5653991699219, 497.30718994140625, 713.177001953125]"
32,Musa_paradisiaca_Platano_fruto,0.831,"[280.51434326171875, 384.59814453125, 478.26190185546875, 608.9541015625]"
32,Musa_paradisiaca_Platano_fruto,0.83,"[244.6004638671875, 351.66583251953125, 392.50006103515625, 492.6650695800781]"
32,Musa_paradisiaca_Platano_fruto,0.819,"[258.72503662109375, 387.8532409667969, 431.0157775878906, 600.2818603515625]"
32,Musa_paradisiaca_Platano_fruto,0.801,"[528.7181396484375, 573.9489135742188, 637.6973876953125, 775.4199829101562]"
32,Musa_paradisiaca_Platano_fruto,0.801,"[242.6543426513672, 444.16070556640625, 378.53143310546875, 647.5628051757812]"
32,Musa_paradisiaca_Platano_fruto,0.787,"[242.4921417236328, 377.3982238769531, 389.8565673828125, 535.0771484375]"
32,Musa_paradisiaca_Platano_fruto,0.784,"[96.94014739990234, 435.2854919433594, 257.7615966796875, 690.0131225585938]"
32,Musa_paradisiaca_Platano_fruto,0.782,"[199.9595947265625, 356.23675537109375, 370.02734375, 502.0103759765625]"
32,Musa_paradisiaca_Platano_fruto,0.776,"[245.90328979492188, 359.1824951171875, 421.3324279785156, 545.6060180664062]"
32,Musa_paradisiaca_Platano_fruto,0.757,"[385.0712585449219, 462.57208251953125, 520.98388671875, 655.8953247070312]"
32,Musa_paradisiaca_Platano_fruto,0.751,"[110.02250671386719, 455.7344055175781, 301.2832336425781, 705.9007568359375]"
32,Musa_paradisiaca_Platano_fruto,0.749,"[194.91818237304688, 388.60418701171875, 367.28680419921875, 540.5512084960938]"
32,Musa_paradisiaca_Platano_fruto,0.74,"[273.37786865234375, 505.0733947753906, 467.3324279785156, 740.65966796875]"
32,Musa_paradisiaca_Platano_fruto,0.735,"[173.95327758789062, 398.88763427734375, 347.9831237792969, 558.216064453125]"
32,Musa_paradisiaca_Platano_fruto,0.721,"[150.36654663085938, 479.1859436035156, 311.39556884765625, 703.3847045898438]"
32,Musa_paradisiaca_Platano_fruto,0.705,"[376.82537841796875, 409.7185974121094, 525.5077514648438, 632.0836791992188]"
32,Musa_paradisiaca_Platano_fruto,0.704,"[121.45263671875, 425.36553955078125, 292.0385437011719, 644.9773559570312]"
32,Musa_paradisiaca_Platano_fruto,0.702,"[79.19544219970703, 425.4410400390625, 238.19049072265625, 658.2107543945312]"
32,Musa_paradisiaca_Platano_fruto,0.7,"[358.2718505859375, 476.80816650390625, 503.0087890625, 676.0294189453125]"
32,Musa_paradisiaca_Platano_fruto,0.697,"[165.80673217773438, 354.2483215332031, 322.13836669921875, 533.6458129882812]"
