                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5519,                 4.6141,                 1.4772,                0.57944,                0.09298,                0.08963,                0.06209,                 1.2251,                 3.2681,                 1.1785,             8.6799e-05,             8.6799e-05,             8.6799e-05
                      1,                 1.5006,                 3.4179,                 1.3867,                0.45588,                0.30036,                0.24289,                0.16392,                 1.1972,                 2.2482,                 1.1896,             0.00017442,             0.00017442,             0.00017442
                      2,                 1.4869,                 2.8859,                 1.3675,                 0.6337,                0.32154,                0.34182,                0.22748,                 1.1628,                 1.9869,                 1.1408,             0.00026188,             0.00026188,             0.00026188
                      3,                 1.4378,                 2.6151,                 1.3605,                0.66265,                 0.3429,                0.40346,                0.27326,                 1.1162,                 1.9738,                 1.1235,             0.00026242,             0.00026242,             0.00026242
                      4,                 1.3916,                  2.386,                 1.3272,                0.55774,                0.43019,                0.43943,                0.30329,                 1.1252,                 1.7285,                 1.1195,             0.00026242,             0.00026242,             0.00026242
                      5,                 1.4044,                 2.2135,                 1.3162,                0.65523,                0.45527,                0.46467,                0.31657,                 1.0812,                 1.6865,                  1.101,             0.00026197,             0.00026197,             0.00026197
                      6,                 1.3655,                 2.1157,                 1.3067,                0.53527,                0.48288,                0.51525,                 0.3442,                 1.0902,                 1.3919,                 1.1061,              0.0002614,              0.0002614,              0.0002614
                      7,                  1.353,                 2.0189,                 1.2914,                0.68472,                0.50334,                 0.5759,                0.39729,                 1.0453,                 1.3451,                 1.0655,             0.00026069,             0.00026069,             0.00026069
                      8,                 1.3536,                 1.9263,                 1.2798,                0.66479,                0.54197,                0.58312,                0.41029,                 1.0557,                 1.2479,                 1.0714,             0.00025986,             0.00025986,             0.00025986
                      9,                 1.3287,                  1.873,                  1.271,                0.65059,                0.53476,                0.58732,                0.40904,                 1.0833,                 1.2589,                 1.0727,             0.00025891,             0.00025891,             0.00025891
                     10,                 1.3378,                 1.8112,                 1.2703,                0.73023,                 0.5355,                0.64528,                0.44621,                  1.062,                 1.2051,                 1.0655,             0.00025783,             0.00025783,             0.00025783
                     11,                 1.3277,                 1.7268,                 1.2717,                0.62804,                0.62282,                0.69173,                0.48067,                 1.0464,                 1.1026,                 1.0529,             0.00025663,             0.00025663,             0.00025663
                     12,                 1.3126,                 1.6188,                 1.2474,                0.65068,                0.62703,                0.69448,                0.48549,                 1.0457,                 1.1344,                 1.0599,              0.0002553,              0.0002553,              0.0002553
                     13,                  1.305,                 1.6141,                 1.2517,                0.73327,                0.68818,                0.72403,                0.50571,                 1.0074,                 1.1027,                 1.0357,             0.00025386,             0.00025386,             0.00025386
                     14,                 1.2907,                 1.5518,                 1.2393,                0.72899,                0.59554,                0.72024,                0.48883,                 1.0267,                 1.1559,                 1.0512,             0.00025229,             0.00025229,             0.00025229
                     15,                 1.2857,                 1.5558,                 1.2476,                0.70724,                0.68553,                0.74837,                 0.5283,                 1.0108,                 1.0393,                 1.0355,             0.00025061,             0.00025061,             0.00025061
                     16,                 1.2441,                 1.4843,                 1.2222,                0.85918,                0.58326,                0.75568,                0.53621,                 1.0048,                 1.0725,                 1.0307,             0.00024881,             0.00024881,             0.00024881
                     17,                 1.2831,                 1.4278,                  1.234,                0.73982,                0.72175,                0.79314,                 0.5526,                0.99191,                0.90226,                 1.0304,              0.0002469,              0.0002469,              0.0002469
                     18,                 1.2391,                 1.4227,                 1.2098,                0.72602,                0.74256,                0.79628,                0.56287,                0.98001,                 0.9054,                 1.0071,             0.00024487,             0.00024487,             0.00024487
                     19,                 1.2515,                 1.3461,                 1.2023,                 0.8091,                0.68749,                0.79812,                0.55756,                 1.0049,                0.90272,                 1.0364,             0.00024273,             0.00024273,             0.00024273
                     20,                 1.2301,                 1.3318,                 1.2099,                0.77936,                0.73445,                0.79912,                0.55576,                0.98406,                0.92832,                 1.0051,             0.00024049,             0.00024049,             0.00024049
